"","Species","Limb.Width","unitsW","Limb.Length","unitsL"
"1","Homo sapiens",13.5616018030105,"mm",73.358216328767,"mm"
"2","Physaria chambersii",3.10821356719707,"cm",195.157265937536,"mm"
"3","Rorippa anceps",9.9358786214956,"cm",268.108833669723,"cm"
"4","Sisymbrium loeselii",18.1458420111222,"cm",141.750167990966,"cm"
"5","Thelypodium integrifolium",28.3275019242541,"mm",47.3818121315516,"cm"
"6","Matthiola chorassanica",19.8957626032042,"cm",4.24602512793994,"mm"
"7","Erysimum canum",17.2653033693384,"mm",65.0750713938879,"cm"
"8","Draba nivalis",28.3955001497218,"cm",166.354141787772,"mm"
"9","Cochlearia danica",2.69767047460573,"mm",166.799878702495,"mm"
"10","Cardamine asarifolia",8.61530539734208,"cm",62.3522936779656,"cm"
